id,seq,is_moving,position,shape,orientation,velocity,type,heading,time_meas,ms_no,road_sec_id,fid,turn_type,category,time,road
229487199,280768782,1,"{""x"":334.6651,""y"":-335.29114,""z"":13.146594}","{""x"":5.4522533,""y"":2.0093057,""z"":1.7892017}",2.535327,3.6740494,1,2.535327,1681355058099674,16813550580,0,2133,1,3,11:04:18,道路5
230141868,280771657,1,"{""x"":334.90387,""y"":-335.47833,""z"":13.036889}","{""x"":4.8766813,""y"":1.9708941,""z"":1.5274924}",2.5557132,4.861272,1,2.5557132,1681355345599928,16813553455,0,2133,1,3,11:09:05,道路5
235906596,280795837,1,"{""x"":320.49722,""y"":-357.70325,""z"":13.943453}","{""x"":9.44163,""y"":2.9124296,""z"":3.2282407}",-0.5875001,9.728752,1,-0.5875001,1681357763599829,16813577635,0,2137,1,3,11:49:23,道路4
236209439,280796787,1,"{""x"":320.9342,""y"":-325.94836,""z"":12.792069}","{""x"":5.5671844,""y"":1.9963753,""z"":1.4654826}",2.5805100000000003,9.482221,1,2.5805100000000003,1681357858599853,16813578585,0,2133,1,3,11:50:58,道路5
236214059,280796802,1,"{""x"":324.44016,""y"":-328.51917,""z"":12.818807}","{""x"":5.189108,""y"":1.8735383,""z"":1.4081371}",2.5525682,9.912249,1,2.5525682,1681357860099842,16813578600,0,2133,1,3,11:51:00,道路5
235801146,280796797,1,"{""x"":313.5954,""y"":-353.78036,""z"":13.0737295}","{""x"":4.494858,""y"":1.9524969,""z"":1.5664861}",-0.5877804,6.6247272,1,-0.5877804,1681357859599841,16813578595,0,2137,1,3,11:50:59,道路4
236021967,280796647,1,"{""x"":336.94153,""y"":-337.35995,""z"":13.064749}","{""x"":4.96576,""y"":1.9770937,""z"":1.680402}",2.5639083,4.0465493,1,2.5639083,1681357844599781,16813578445,0,2133,1,3,11:50:44,道路5
231254830,280776837,1,"{""x"":-29.630352,""y"":-97.10669,""z"":12.996094}","{""x"":4,""y"":1.7235017,""z"":1.8535156}",2.636248,8.87961,1,2.636248,1681355863599653,16813558635,0,2539,1,3,11:17:43,道路3
231284663,280776637,1,"{""x"":336.25363,""y"":-336.6095,""z"":12.903101}","{""x"":4.7768974,""y"":1.9724979,""z"":1.5192174}",2.5861404,3.9524865,1,2.5861404,1681355843599684,16813558435,0,2133,1,3,11:17:23,道路5
235097533,280792667,1,"{""x"":329.3202,""y"":-332.4354,""z"":12.830849}","{""x"":4.9900494,""y"":1.9109154,""z"":1.4183153}",2.5832858,6.9797034,1,2.5832858,1681357446599663,16813574465,0,2133,1,3,11:44:06,道路5
231630276,280778677,1,"{""x"":327.97565,""y"":-330.83078,""z"":12.90453}","{""x"":5.1343303,""y"":1.9381276,""z"":1.5298251}",2.5689242,6.318592,1,2.5689242,1681356047599749,16813560475,0,2133,1,3,11:20:47,道路5
231358163,280778552,1,"{""x"":108.805275,""y"":-219.86331,""z"":13.571036}","{""x"":7.1391425,""y"":2.5806904,""z"":2.9025345}",-0.53564197,7.3249516,4,-0.53564197,1681356035099610,16813560350,0,2542,1,3,11:20:35,道路3
236345417,280797702,1,"{""x"":331.55612,""y"":-333.0481,""z"":12.892488}","{""x"":5.0729966,""y"":1.9346784,""z"":1.4318842}",2.5501666,7.821593,1,2.5501666,1681357950099803,16813579500,0,2133,1,3,11:52:30,道路5
236818492,280799647,1,"{""x"":330.36475,""y"":-332.87003,""z"":13.035358}","{""x"":4.8750715,""y"":1.9705243,""z"":1.492017}",2.5722096,6.143065,1,2.5722096,1681358144599854,16813581445,0,2133,1,3,11:55:44,道路5
236660351,280798652,1,"{""x"":329.26837,""y"":-331.72525,""z"":12.87024}","{""x"":5.007304,""y"":1.9511971,""z"":1.4424102}",2.5752234,6.5350566,1,2.5752234,1681358045099793,16813580450,0,2133,1,3,11:54:05,道路5
