id,seq,is_moving,position,shape,orientation,velocity,type,heading,time_meas,ms_no,road_sec_id,fid,turn_type,category,time,road
233029914,280783832,1,"{""x"":-82.19383,""y"":-410.49304,""z"":12.383057}","{""x"":0.6094133,""y"":0.5872103,""z"":1.5537109}",-2.5046363,1.4594973,2,-2.5046363,1681356563099777,16813565630,10,228,0,1,11:29:23,道路8
232324324,280780882,1,"{""x"":-76.587395,""y"":-413.36487,""z"":12.332764}","{""x"":0.6131475,""y"":0.5989718,""z"":1.4306641}",0.82365793,1.133953,2,0.82365793,1681356268099683,16813562680,10,228,0,1,11:24:28,道路8
234219655,280788662,1,"{""x"":38.872955,""y"":-388.473,""z"":12.972079}","{""x"":0.6885842,""y"":0.63832575,""z"":1.6524922}",-1.5499827,1.5249885,2,-1.5499827,1681357046099991,16813570460,1001,1004,1,1,11:37:26,道路13
235351534,280793207,1,"{""x"":29.180243,""y"":-387.13925,""z"":12.936957}","{""x"":0.6121217,""y"":0.60461086,""z"":1.636533}",1.146217,1.3225671,2,1.146217,1681357500599999,16813575005,1002,1006,0,1,11:45:00,道路13
231729482,280778612,0,"{""x"":30.33631,""y"":-390.58643,""z"":12.876851}","{""x"":1.6573082,""y"":0.8964872,""z"":1.4788412}",-1.9293146,0.0,2,-1.9293146,1681356041099599,16813560410,1002,1005,0,1,11:20:41,道路13
229197777,280767352,1,"{""x"":43.387085,""y"":-374.48264,""z"":13.157367}","{""x"":0.67312473,""y"":0.63712186,""z"":1.6212721}",1.4003432999999998,1.078901,2,1.4003432999999998,1681354915099685,16813549150,1003,1007,0,1,11:01:55,道路13
235714168,280794882,1,"{""x"":55.50197,""y"":-350.82834,""z"":12.949341}","{""x"":0.6388078,""y"":0.6251008,""z"":1.7175338}",-1.54214,1.2525276,2,-1.54214,1681357668099685,16813576680,1003,1007,0,1,11:47:48,道路13
235888675,280795502,1,"{""x"":53.278015,""y"":-350.03323,""z"":13.216891}","{""x"":0.7270867,""y"":0.7106598,""z"":1.6593143}",-2.7310948,1.3568863,2,-2.7310948,1681357730099703,16813577300,1003,1007,0,1,11:48:50,道路13
235231564,280792782,1,"{""x"":55.892967,""y"":-349.46082,""z"":13.074635}","{""x"":0.6430807,""y"":0.62903976,""z"":1.6692693}",0.045620866,1.1308992,2,0.045620866,1681357458099994,16813574580,1003,1007,0,1,11:44:18,道路13
236327633,280797332,1,"{""x"":47.183193,""y"":-365.0217,""z"":13.10346}","{""x"":0.6917792,""y"":0.68778354,""z"":1.6493183}",1.6077627,1.3665953,2,1.6077627,1681357913099707,16813579130,1003,1007,0,1,11:51:53,道路13
237411943,280801497,1,"{""x"":45.17383,""y"":-365.41238,""z"":13.190459}","{""x"":0.6508317,""y"":0.6456315,""z"":1.6660119}",2.5281403,1.6597458,2,2.5281403,1681358329599778,16813583295,1003,1007,0,1,11:58:49,道路13
233135785,280784752,1,"{""x"":40.345398,""y"":-383.6473,""z"":12.906258}","{""x"":0.70634484,""y"":0.67414016,""z"":1.651988}",-1.7903626,1.0559293,2,-1.7903626,1681356655099608,16813566550,1003,1007,0,1,11:30:55,道路13
236986544,280799797,1,"{""x"":46.503998,""y"":-369.12637,""z"":13.012144}","{""x"":0.65595436,""y"":0.6428394,""z"":1.655925}",-1.3600674,1.4914273,2,-1.3600674,1681358159599699,16813581595,1003,1007,0,1,11:55:59,道路13
237196537,280800617,1,"{""x"":49.686947,""y"":-356.04514,""z"":13.201906}","{""x"":0.69247615,""y"":0.6494708,""z"":1.6940565}",3.0561748,1.4666051,2,3.0561748,1681358241599803,16813582415,1003,1007,0,1,11:57:21,道路13
230861129,280774532,1,"{""x"":41.491104,""y"":-382.46704,""z"":12.991175}","{""x"":0.6352644,""y"":0.6335824,""z"":1.6262771}",2.7935872,1.8899912,2,2.7935872,1681355633099691,16813556330,1003,1007,0,1,11:13:53,道路13
234117143,280788032,1,"{""x"":53.70981,""y"":-354.63568,""z"":12.953087}","{""x"":0.6692564,""y"":0.63354343,""z"":1.6394324}",2.795437,0.6826607,2,2.1577454,1681356983099906,16813569830,1003,1007,0,1,11:36:23,道路13
235236298,280792796,1,"{""x"":55.972923,""y"":-348.81808,""z"":12.905842}","{""x"":0.6332137,""y"":0.6150093,""z"":1.7272052}",0.06850178,1.043287,2,0.06850178,1681357459500002,16813574595,1003,1007,0,1,11:44:19,道路13
232685757,280782407,1,"{""x"":50.421127,""y"":-358.26395,""z"":12.901679}","{""x"":0.611371,""y"":0.57877946,""z"":1.7042198}",-2.871148,0.8945734999999999,2,-2.871148,1681356420599702,16813564205,1003,1007,0,1,11:27:00,道路13
232088159,280779937,1,"{""x"":42.144382,""y"":-381.37726,""z"":12.920098}","{""x"":0.6456938,""y"":0.638213,""z"":1.6330906}",1.7214108,1.6319393999999998,2,1.7214108,1681356173599723,16813561735,1003,1007,0,1,11:22:53,道路13
237492660,280801767,1,"{""x"":56.813004,""y"":-349.05103,""z"":13.007929}","{""x"":0.6808738,""y"":0.6533693,""z"":1.6593143}",3.0985584,1.0498612,2,3.0985584,1681358356599759,16813583565,1003,1007,0,1,11:59:16,道路13
229955180,280770567,1,"{""x"":41.891594,""y"":-375.5997,""z"":13.032957}","{""x"":1.2058953,""y"":0.6938032,""z"":1.6374823}",2.1457987,1.150145,2,2.1457987,1681355236599499,16813552365,1003,1007,0,1,11:07:16,道路13
232681896,280782377,1,"{""x"":53.146935,""y"":-357.5955,""z"":12.95725}","{""x"":0.6518326,""y"":0.6416606,""z"":1.6170226}",-3.1348536,1.1321135,2,-3.1348536,1681356417599771,16813564175,1003,1007,0,1,11:26:57,道路13
236862797,280799257,1,"{""x"":53.940178,""y"":-348.6191,""z"":13.038004}","{""x"":0.6727255,""y"":0.6363429,""z"":1.664589}",-3.015948,1.3613248,2,-3.015948,1681358105599660,16813581055,1003,1007,0,1,11:55:05,道路13
234136545,280788412,1,"{""x"":48.040558,""y"":-352.6799,""z"":12.949028}","{""x"":0.6954407,""y"":0.66067,""z"":1.6554197}",-1.9008874,1.319077,2,-1.9008874,1681357021099981,16813570210,1004,1009,1,1,11:37:01,道路13
234202335,280788487,1,"{""x"":44.345284,""y"":-361.3582,""z"":12.93173}","{""x"":1.352725,""y"":0.7390959,""z"":1.5410398}",-1.7454057,1.3721831,2,-1.7454057,1681357028599971,16813570285,1004,1008,1,1,11:37:08,道路13
236236326,280796897,1,"{""x"":48.907047,""y"":-346.58167,""z"":12.934772}","{""x"":0.68247795,""y"":0.6730064,""z"":1.779044}",-1.915987,1.3572218,2,-1.915987,1681357869599746,16813578695,1004,1009,1,1,11:51:09,道路13
236276314,280797037,1,"{""x"":74.6972,""y"":-300.87723,""z"":12.99591}","{""x"":0.64686203,""y"":0.60850817,""z"":1.6310484}",1.16564,1.2886207,2,1.16564,1681357883599786,16813578835,1005,1010,0,1,11:51:23,道路13
237457580,280801632,1,"{""x"":77.24471,""y"":-300.86188,""z"":12.988417}","{""x"":0.5972868,""y"":0.59332305,""z"":1.6521393}",2.456377,1.2304438,2,2.456377,1681358343099722,16813583430,1005,1010,0,1,11:59:03,道路13
232191230,280780382,1,"{""x"":81.25908,""y"":-289.12442,""z"":12.92884}","{""x"":0.59016556,""y"":0.5834985,""z"":1.6130304}",0.3874714999999999,1.4039786,2,0.3874714999999999,1681356218099718,16813562180,1007,1012,1,1,11:23:38,道路13
229883899,280770247,1,"{""x"":88.519005,""y"":-279.666,""z"":12.919447}","{""x"":1.6873571,""y"":0.84481806,""z"":1.5622535}",1.6335456,1.2931708,2,1.6335456,1681355204599881,16813552045,1007,1013,1,1,11:06:44,道路13
236142563,280796462,1,"{""x"":88.89221,""y"":-280.74493,""z"":12.975513}","{""x"":0.5805184,""y"":0.57410353,""z"":1.6379321}",-2.7192733,1.3720245,2,-2.7192733,1681357826099684,16813578260,1007,1013,1,1,11:50:26,道路13
236146303,280796452,1,"{""x"":89.21611,""y"":-281.8913,""z"":13.056111}","{""x"":0.65585154,""y"":0.6097127,""z"":1.6668766}",-1.2560477,1.7940366,2,-1.8007157,1681357825099674,16813578250,1007,1013,1,1,11:50:25,道路13
231203891,280776087,1,"{""x"":86.71048,""y"":-275.83112,""z"":13.016775}","{""x"":0.58391196,""y"":0.56521213,""z"":1.5985742}",2.4030688,0.28506532,2,2.4030688,1681355788599720,16813557885,1007,1012,1,1,11:16:28,道路13
233809525,280786907,1,"{""x"":93.24544,""y"":-270.59927,""z"":12.831539}","{""x"":0.688543,""y"":0.65097594,""z"":1.6122432}",-1.2195629,1.355327,2,-1.2195629,1681356870599726,16813568705,1007,1013,1,1,11:34:30,道路13
234979366,280791617,1,"{""x"":87.45581,""y"":-275.1241,""z"":13.127604}","{""x"":0.57225823,""y"":0.569543,""z"":1.6072322}",1.3041904,0.8088476,2,-2.8715696,1681357341599802,16813573415,1007,1012,1,1,11:42:21,道路13
234997587,280791732,1,"{""x"":82.613266,""y"":-291.35608,""z"":13.039044}","{""x"":0.66983205,""y"":0.64091283,""z"":1.6588081}",1.862441,1.4010197,2,1.862441,1681357353099781,16813573530,1007,1013,1,1,11:42:33,道路13
229883417,280770297,1,"{""x"":90.81591,""y"":-279.5327,""z"":12.821133}","{""x"":0.634404,""y"":0.5941771,""z"":1.612735}",0.7939317,1.3908292,2,0.7939317,1681355209599728,16813552095,1007,1013,1,1,11:06:49,道路13
231099539,280775707,1,"{""x"":84.543816,""y"":-288.46844,""z"":12.799071}","{""x"":0.59037876,""y"":0.58021265,""z"":1.6126859}",0.08000069,1.0692463,2,0.08000069,1681355750599730,16813557505,1007,1013,1,1,11:15:50,道路13
