id,seq,is_moving,position,shape,orientation,velocity,type,heading,time_meas,ms_no,road_sec_id,fid,turn_type,category,time,road,event_name
191984531,280637577,0,"{""x"":225.48537,""y"":-440.6303}","{""x"":4.736752,""y"":1.9609005,""z"":1.4970703}",-2.1205463,0.0,1,-2.1205463,1681341937599701,16813419375,0,70602,1,2,07:25:37,道路14,机动车占用非机动车道
190697225,280638082,0,"{""x"":-326.31775,""y"":-138.8527}","{""x"":4.612805,""y"":1.8477105,""z"":1.7294922}",1.2375399,0.0,1,-0.31386504,1681341988099863,16813419880,0,70600,1,2,07:26:28,道路11,机动车占用非机动车道
196708236,280637187,0,"{""x"":-127.19244,""y"":-280.97412}","{""x"":5.0484605,""y"":2.1155205,""z"":2.252508}",-1.9627222,0.0,1,-1.9627222,1681341898599734,16813418985,0,70252,0,2,07:24:58,道路12,机动车占用非机动车道
192612777,280637447,0,"{""x"":229.904,""y"":-441.81287}","{""x"":4.61762,""y"":1.9506824,""z"":1.4638672}",-2.0141609,0.0,1,-2.0141609,1681341924599719,16813419245,0,70602,1,2,07:25:24,道路14,机动车占用非机动车道
195685369,280636762,0,"{""x"":-115.728004,""y"":-355.47073}","{""x"":4.5725565,""y"":1.9053965,""z"":1.7890625}",1.1115522,0.0,1,1.1371019,1681341856099656,16813418560,0,70251,0,2,07:24:16,道路12,机动车占用非机动车道
197659564,280637857,0,"{""x"":222.20541,""y"":-462.92383,""z"":13.331055}","{""x"":4.721038,""y"":1.8256493,""z"":1.4375}",-2.1005597,0.0,1,-2.1005597,1681341965599687,16813419655,0,70602,1,2,07:26:05,道路14,机动车占用非机动车道
196140659,280638317,0,"{""x"":-305.67874,""y"":-70.40053}","{""x"":4.359611,""y"":1.8774855,""z"":1.4726562}",1.3893561,0.0,1,1.3893561,1681342011599876,16813420115,0,70235,0,2,07:26:51,道路11,机动车占用非机动车道
196766013,280638362,0,"{""x"":93.309265,""y"":-497.35397}","{""x"":4.7596817,""y"":1.9040139,""z"":1.4462891}",2.5810876,0.0,1,2.5810876,1681342016099683,16813420160,0,70083,0,2,07:26:56,道路9,机动车占用非机动车道
195910191,280637712,0,"{""x"":-340.6289,""y"":-309.4146}","{""x"":4.528629,""y"":1.8580276,""z"":1.4443359}",-0.35462478,0.0,1,-0.35462478,1681341951099639,16813419510,0,70079,0,2,07:25:51,道路7,机动车占用非机动车道
197496715,280637202,1,"{""x"":-307.82568,""y"":-137.48553,""z"":12.154663}","{""x"":4.525164,""y"":1.9290932,""z"":1.5097656}",1.3032745,1.0615082,1,1.3032745,1681341900099823,16813419000,0,70599,1,2,07:25:00,道路11,机动车占用非机动车道
191963536,280638077,1,"{""x"":-47.256268,""y"":-87.184494,""z"":12.832031}","{""x"":4.5403357,""y"":2.0022025,""z"":1.5615234}",2.569276,6.427499,1,2.569276,1681341987599750,16813419875,0,70448,1,2,07:26:27,道路15,机动车占用非机动车道
201084488,280655642,0,"{""x"":-306.17456,""y"":-148.3672}","{""x"":6.3145247,""y"":2.3213024,""z"":2.5}",-0.07900018,0.0,4,-0.07900018,1681343744099682,16813437440,0,70599,1,2,07:55:44,道路11,机动车占用非机动车道
201915635,280655497,0,"{""x"":-305.924,""y"":-70.82751}","{""x"":4.355957,""y"":1.7354678,""z"":1.4082031}",1.3993626,0.0,1,1.4025133,1681343729599684,16813437295,0,70235,0,2,07:55:29,道路11,机动车占用非机动车道
200044142,280654947,0,"{""x"":-69.81801,""y"":-245.27324}","{""x"":5.6127815,""y"":2.0254407,""z"":2.0332274}",0.24678996,0.0,1,0.24678996,1681343674599679,16813436745,0,70249,0,2,07:54:34,道路12,机动车占用非机动车道
198948853,280654247,1,"{""x"":208.16037,""y"":-247.46175,""z"":13.355122}","{""x"":4.89688,""y"":2.0167184,""z"":1.4648365}",2.5162592,0.57763726,1,2.5162592,1681343604599781,16813436045,0,70121,0,2,07:53:24,道路4,机动车占用非机动车道
195620701,280630837,0,"{""x"":-313.38898,""y"":-156.08171}","{""x"":4.890341,""y"":1.9600915,""z"":1.4814453}",1.2585509,0.0,1,1.2585509,1681341263599662,16813412635,0,70599,1,2,07:14:23,道路11,机动车占用非机动车道
194848420,280631382,0,"{""x"":174.62892,""y"":-578.6266}","{""x"":4.515091,""y"":1.906866,""z"":1.4937483}",-1.0280343,0.0,1,-1.0280343,1681341318099806,16813413180,0,70566,1,2,07:15:18,道路9,机动车占用非机动车道
195761131,280632322,0,"{""x"":-307.94333,""y"":-137.59842,""z"":12.211792}","{""x"":4.7335896,""y"":1.9538064,""z"":1.4921875}",1.241679,0.0,1,1.241679,1681341412099627,16813414120,0,70599,1,2,07:16:52,道路11,机动车占用非机动车道
196104331,280632602,0,"{""x"":-111.15042,""y"":-377.79538,""z"":12.339111}","{""x"":4.2167993,""y"":1.8506587,""z"":1.4980469}",-0.36701778,0.0,1,-0.36701778,1681341440099659,16813414400,0,70551,3,2,07:17:20,道路8,机动车占用非机动车道
196469659,280632657,1,"{""x"":-303.1735,""y"":-145.17996,""z"":12.3498535}","{""x"":4.6837068,""y"":2.0306365,""z"":1.7001953}",2.8896224,2.5831122,1,2.8896224,1681341445599648,16813414455,0,70599,1,2,07:17:25,道路11,机动车占用非机动车道
198227808,280649212,0,"{""x"":251.37614,""y"":-461.21985}","{""x"":4.7725673,""y"":1.775111,""z"":1.4287109}",1.1029274,0.0,1,1.1029274,1681343101099728,16813431010,0,70601,1,2,07:45:01,道路14,机动车占用非机动车道
199856011,280649342,0,"{""x"":-305.70148,""y"":-70.455925}","{""x"":4.3572526,""y"":1.8900784,""z"":1.4882812}",1.4317663,0.0,1,1.3455081,1681343114099658,16813431140,0,70235,0,2,07:45:14,道路11,机动车占用非机动车道
200102595,280648982,1,"{""x"":-100.01682,""y"":-382.6845,""z"":12.483643}","{""x"":4,""y"":1.759685,""z"":1.5146484}",2.7345715,2.1992307,1,2.7345715,1681343078099620,16813430780,0,70080,0,2,07:44:38,道路8,机动车占用非机动车道
200670785,280649507,1,"{""x"":16.473202,""y"":-444.71567,""z"":12.924704}","{""x"":4.8165236,""y"":2.056872,""z"":1.4950958}",1.8179606,6.515537,1,1.8179606,1681343130599701,16813431305,0,70562,1,2,07:45:30,道路9,机动车占用非机动车道
198309210,280641512,0,"{""x"":-22.814709,""y"":-146.49638}","{""x"":4.606215,""y"":1.9017388,""z"":1.4453125}",0.7478602999999999,0.0,1,0.7478602999999999,1681342331099606,16813423310,0,70454,3,2,07:32:11,道路12,机动车占用非机动车道
198252033,280640647,0,"{""x"":-59.767746,""y"":-399.66852}","{""x"":4.34554,""y"":1.8231221,""z"":1.5605469}",2.59392,0.0,1,2.59392,1681342244599788,16813422445,0,70080,0,2,07:30:44,道路8,机动车占用非机动车道
197981139,280641402,0,"{""x"":171.09502,""y"":-577.3009}","{""x"":4.214018,""y"":1.9090797,""z"":1.8909274}",-3.0740483,0.0,1,-3.0740483,1681342320099629,16813423200,0,70566,1,2,07:32:00,道路9,机动车占用非机动车道
191253122,280640867,1,"{""x"":-2.609553,""y"":-435.0822,""z"":12.6193905}","{""x"":5.109418,""y"":2.047298,""z"":1.4321268}",-3.0359726,5.959179,1,-3.0359726,1681342266599796,16813422665,0,70562,1,2,07:31:06,道路9,机动车占用非机动车道
198397427,280657832,1,"{""x"":-0.57608694,""y"":-433.0653,""z"":12.555307}","{""x"":4.5520816,""y"":1.9238398,""z"":1.4133701}",-2.9563124,5.361674,1,-2.9563124,1681343963099738,16813439630,0,70562,1,2,07:59:23,道路9,机动车占用非机动车道
191369294,280629012,0,"{""x"":-306.1028,""y"":-72.53956}","{""x"":4.3743424,""y"":1.734794,""z"":1.4169922}",1.3960975,0.0,1,1.3960975,1681341081099854,16813410810,0,70235,0,2,07:11:21,道路11,机动车占用非机动车道
195533757,280629027,1,"{""x"":293.0587,""y"":-345.04263,""z"":13.176597}","{""x"":4.798545,""y"":2.0043597,""z"":1.629385}",-2.652194,6.580067,1,-2.652194,1681341082599863,16813410825,0,70482,1,2,07:11:22,道路4,机动车占用非机动车道
194537227,280629242,1,"{""x"":-0.9805683,""y"":-433.82236,""z"":12.614901}","{""x"":4.6991854,""y"":1.942417,""z"":1.4612646}",-2.9761100000000003,5.145941,1,-2.9761100000000003,1681341104099604,16813411040,0,70562,1,2,07:11:44,道路9,机动车占用非机动车道
199664419,280646772,1,"{""x"":100.140816,""y"":-226.18393,""z"":12.773701}","{""x"":4.6112995,""y"":1.7568197,""z"":1.562285}",-1.4716036,7.1995425,1,-1.4716036,1681342857099773,16813428570,0,70470,1,2,07:40:57,道路13,机动车占用非机动车道
197925962,280647567,1,"{""x"":-6.648089,""y"":-431.918,""z"":12.376709}","{""x"":4.796219,""y"":1.9931377,""z"":1.4589844}",-3.0615535,8.395501,1,-3.0615535,1681342936599677,16813429365,0,70562,1,2,07:42:16,道路9,机动车占用非机动车道
200136420,280647637,1,"{""x"":16.840065,""y"":-443.44855,""z"":12.833885}","{""x"":4.8032722,""y"":2.0117955,""z"":1.445122}",1.7409389,5.3776007,1,1.7409389,1681342943599650,16813429435,0,70562,1,2,07:42:23,道路9,机动车占用非机动车道
196624421,280634802,0,"{""x"":-117.23168,""y"":-372.34198}","{""x"":4.756554,""y"":1.9326929,""z"":1.4873047}",1.9207091,0.0,1,1.9207091,1681341660099681,16813416600,0,70551,3,2,07:21:00,道路8,机动车占用非机动车道
196345881,280634017,1,"{""x"":-25.32451,""y"":-141.39458,""z"":12.481934}","{""x"":4.654627,""y"":1.5387216,""z"":1.4423828}",0.26369503,7.710110999999999,1,0.26369503,1681341581599630,16813415815,0,70450,1,2,07:19:41,道路2,机动车占用非机动车道
201262688,280651612,1,"{""x"":220.24893,""y"":-443.3014,""z"":13.5234375}","{""x"":4.6728196,""y"":2.0010767,""z"":1.4951172}",-0.56008315,0.7001199,1,-0.56008315,1681343341099677,16813433410,0,70602,1,2,07:49:01,道路14,机动车占用非机动车道
