id,seq,is_moving,position,shape,orientation,velocity,type,heading,time_meas,ms_no,road_sec_id,fid,turn_type,category,time,road,event_name
207085160,280675887,1,"{""x"":33.907726,""y"":-394.90198,""z"":12.850443}","{""x"":4.3201795,""y"":1.788412,""z"":1.4984052}",-1.5577356,10.297362,1,-1.5577356,1681345768599752,16813457685,1001,1004,1,1,08:29:28,道路13,逆行
203134135,280661872,1,"{""x"":31.873024,""y"":-391.509,""z"":13.249075}","{""x"":4.882142,""y"":2.0306818,""z"":1.8801453}",1.4865646,4.573512,1,1.4865646,1681344367099744,16813443670,1002,1005,0,1,08:06:07,道路13,逆行
203062248,280660277,1,"{""x"":46.281334,""y"":-351.72012,""z"":12.962188}","{""x"":5.172126,""y"":1.9613627,""z"":1.5184757}",1.4967866,3.1409767,1,1.4967866,1681344207599639,16813442075,1004,1009,1,1,08:03:27,道路13,逆行
203299287,280661992,1,"{""x"":64.76077,""y"":-314.7071,""z"":12.980762}","{""x"":4.750539,""y"":2.0699813,""z"":1.7068516}",1.3567749,6.513303,1,1.3567749,1681344379099773,16813443790,1006,1011,0,1,08:06:19,道路13,逆行
206566712,280674082,1,"{""x"":61.64103,""y"":-316.2019,""z"":12.974434}","{""x"":4.951346,""y"":2.1108806,""z"":1.7023777}",1.4081061,5.4871264,1,1.4081061,1681345588099908,16813455880,1006,70366,0,2,08:26:28,道路13,逆行
208076971,280680802,1,"{""x"":-333.90057,""y"":-210.46556,""z"":12.990723}","{""x"":5.870091,""y"":2.3935032,""z"":2.4316406}",-1.8054446,1.5182219,1,-1.8054446,1681346260099891,16813462600,103,107,0,1,08:37:40,道路11,逆行
210668646,280689532,1,"{""x"":91.686905,""y"":-508.9659,""z"":13.305664}","{""x"":4.7604885,""y"":1.9300612,""z"":1.4912109}",-0.15916513,0.28489634,1,-0.15916513,1681347133099646,16813471330,19,245,1,1,08:52:13,道路9,逆行
209803488,280685992,1,"{""x"":250.4668,""y"":-303.0031,""z"":12.84085}","{""x"":4.5758324,""y"":1.9520266,""z"":1.4658405}",2.4441676,0.51775277,1,2.4441676,1681346779099637,16813467790,373,1461,0,1,08:46:19,道路4,逆行
212017610,280693632,1,"{""x"":-253.31728,""y"":-325.1184,""z"":12.561523}","{""x"":4,""y"":2.0818653,""z"":1.6025391}",-0.54410136,1.3397182,1,-0.54410136,1681347543099683,16813475430,7,215,0,1,08:59:03,道路7,逆行
211757884,280692367,1,"{""x"":-241.05652,""y"":-335.91226,""z"":12.419189}","{""x"":4.849068,""y"":1.9692708,""z"":1.5664062}",-0.88823885,1.8305241,1,-0.88823885,1681347416599754,16813474165,7,214,1,1,08:56:56,道路7,逆行
