id,seq,is_moving,position,shape,orientation,velocity,type,heading,time_meas,ms_no,road_sec_id,fid,turn_type,category,time,road,event_name
190697225,280670952,0,"{""x"":-326.29984,""y"":-138.83646}","{""x"":4.737297,""y"":1.8946364,""z"":1.7949219}",1.2001941,0.0,1,-0.31386504,1681345275099644,16813452750,0,70600,1,2,08:21:15,道路11,机动车占用非机动车道
205782580,280671092,0,"{""x"":241.69894,""y"":-265.2887}","{""x"":4.3368044,""y"":1.8214895,""z"":1.6024381}",-0.47821775,0.0,1,-0.48820627,1681345289099731,16813452890,0,70122,0,2,08:21:29,道路4,机动车占用非机动车道
204927424,280670272,0,"{""x"":250.47652,""y"":-458.73962}","{""x"":4.6902494,""y"":1.9820194,""z"":1.5224609}",1.0363194,0.0,1,1.0363194,1681345207099758,16813452070,0,70601,1,2,08:20:07,道路14,机动车占用非机动车道
204970018,280671267,0,"{""x"":-63.052544,""y"":-239.52452,""z"":12.861641}","{""x"":4.4298387,""y"":1.882609,""z"":1.6304817}",-0.8918813,0.0,1,-0.8918813,1681345306599668,16813453065,0,70248,0,2,08:21:46,道路12,机动车占用非机动车道
192612777,280671127,0,"{""x"":229.97977,""y"":-441.691}","{""x"":4.505252,""y"":1.8772402,""z"":1.4609375}",-2.0141609,0.0,1,-2.0141609,1681345292599688,16813452925,0,70602,1,2,08:21:32,道路14,机动车占用非机动车道
195685369,280670757,0,"{""x"":-115.70211,""y"":-355.37152}","{""x"":4.7686725,""y"":1.9122972,""z"":1.9472656}",1.1373522,0.0,1,1.1880891,1681345255599813,16813452555,0,70251,0,2,08:20:55,道路12,机动车占用非机动车道
205230833,280670427,0,"{""x"":241.68254,""y"":-265.28476}","{""x"":4.361358,""y"":1.8047307,""z"":1.6094955}",-0.4812228999999999,0.0,1,-0.48539087,1681345222599740,16813452225,0,70122,0,2,08:20:22,道路4,机动车占用非机动车道
204953582,280670257,0,"{""x"":222.5932,""y"":-448.52444}","{""x"":4.5105305,""y"":2.0976305,""z"":1.5371094}",-2.7779403,0.0,1,-2.7779403,1681345205599694,16813452055,0,70602,1,2,08:20:05,道路14,机动车占用非机动车道
205406188,280671422,0,"{""x"":234.62256,""y"":-433.0386,""z"":13.6015625}","{""x"":4.43106,""y"":1.9562067,""z"":1.5488281}",-2.4012413,0.0,1,-2.4012413,1681345322099696,16813453220,0,70602,1,2,08:22:02,道路14,机动车占用非机动车道
205267320,280670452,0,"{""x"":223.15613,""y"":-459.87567}","{""x"":4.7320127,""y"":1.8857502,""z"":1.4609375}",-1.9998623,0.0,1,-1.9998623,1681345225099757,16813452250,0,70602,1,2,08:20:25,道路14,机动车占用非机动车道
204571488,280671222,1,"{""x"":238.72375,""y"":-474.19107,""z"":13.386719}","{""x"":4.747513,""y"":1.8859825,""z"":1.4658203}",1.2322807,2.8249285,1,1.2322807,1681345302099378,16813453020,0,70601,1,2,08:21:42,道路14,机动车占用非机动车道
208798702,280685122,0,"{""x"":-306.85587,""y"":-136.56096}","{""x"":4.75224,""y"":1.9732137,""z"":1.515625}",1.2309625,0.0,1,1.2309625,1681346692099765,16813466920,0,70599,1,2,08:44:52,道路11,机动车占用非机动车道
209104910,280684592,0,"{""x"":7.2057242,""y"":-161.24779,""z"":12.530409}","{""x"":4.286535,""y"":1.8016768,""z"":1.5898438}",-0.56591606,0.0,1,-0.56591606,1681346639099746,16813466390,0,70119,0,2,08:43:59,道路3,机动车占用非机动车道
208386696,280684267,0,"{""x"":254.24147,""y"":-459.37973}","{""x"":4.5169606,""y"":1.8702388,""z"":1.4775391}",1.0388032,0.0,1,1.0296334,1681346606599651,16813466065,0,70601,1,2,08:43:26,道路14,机动车占用非机动车道
207350081,280685532,0,"{""x"":-327.52737,""y"":-143.331,""z"":11.989784}","{""x"":4.866499,""y"":1.849518,""z"":1.5}",-1.8814485,0.0,1,-1.8814485,1681346733099741,16813467330,0,70600,1,2,08:45:33,道路11,机动车占用非机动车道
208434166,280684657,0,"{""x"":92.60485,""y"":-495.85947,""z"":13.135742}","{""x"":4.971858,""y"":2.1108153,""z"":1.5039062}",3.1054378,0.0,1,3.1054378,1681346645599667,16813466455,0,70083,0,2,08:44:05,道路9,机动车占用非机动车道
208602445,280684727,0,"{""x"":-275.45245,""y"":-340.32367,""z"":12.868652}","{""x"":6.656999,""y"":2.4316432,""z"":2.7519531}",-0.39685756,0.0,1,-0.39685756,1681346652599446,16813466525,0,70077,0,2,08:44:12,道路7,机动车占用非机动车道
207293908,280685547,0,"{""x"":-11.860124,""y"":-92.63857}","{""x"":4.6256037,""y"":1.84814,""z"":1.5263672}",1.9684118,0.0,1,1.9684118,1681346734599767,16813467345,0,70456,2,2,08:45:34,道路2,机动车占用非机动车道
206974812,280684727,1,"{""x"":225.17474,""y"":-446.55994,""z"":13.533203}","{""x"":4.8103576,""y"":1.8355994,""z"":1.4775391}",-1.5988783999999998,3.7187288,1,-1.5988783999999998,1681346652599669,16813466525,0,70602,1,2,08:44:12,道路14,机动车占用非机动车道
209047905,280684222,0,"{""x"":230.92645,""y"":-434.45337}","{""x"":4.496173,""y"":2.0811582,""z"":1.4550781}",-2.7274000000000003,0.0,1,-2.7274000000000003,1681346602099669,16813466020,0,70602,1,2,08:43:22,道路14,机动车占用非机动车道
209829780,280685547,0,"{""x"":-275.3881,""y"":-340.2997}","{""x"":7.4335375,""y"":2.592136,""z"":2.6210938}",-0.38723695,0.0,4,-0.38797963,1681346734599608,16813467345,0,70077,0,2,08:45:34,道路7,机动车占用非机动车道
204548168,280666732,0,"{""x"":-176.2325,""y"":-350.61456,""z"":13.003906}","{""x"":5.9934444,""y"":2.3318145,""z"":2.2988281}",2.7525687,0.0,4,2.7525687,1681344853099684,16813448530,0,70076,0,2,08:14:13,道路7,机动车占用非机动车道
204719599,280667312,0,"{""x"":-69.86549,""y"":-245.29037}","{""x"":5.4474072,""y"":1.9842842,""z"":2.2807295}",1.0506754,0.0,1,1.0894586,1681344911099674,16813449110,0,70249,0,2,08:15:11,道路12,机动车占用非机动车道
204318751,280667002,0,"{""x"":241.78677,""y"":-265.25308}","{""x"":4.359502,""y"":1.7772304,""z"":1.5355103}",-0.5134765,0.0,1,2.564411,1681344880099738,16813448800,0,70122,0,2,08:14:40,道路4,机动车占用非机动车道
204830057,280667122,1,"{""x"":-62.292778,""y"":-237.8356,""z"":12.914499}","{""x"":4.193245,""y"":1.9046756,""z"":1.607434}",2.4737859,4.042013,1,2.2793562,1681344892099663,16813448920,0,70248,0,2,08:14:52,道路12,机动车占用非机动车道
201262688,280666397,1,"{""x"":182.63109,""y"":-546.62054,""z"":12.79411}","{""x"":5.3712626,""y"":2.0845792,""z"":1.510434}",-2.5504653,3.8177001,1,-2.5504653,1681344819599727,16813448195,0,70568,2,2,08:13:39,道路14,机动车占用非机动车道
201915635,280667032,1,"{""x"":-373.38632,""y"":-270.16696,""z"":12.819824}","{""x"":4.607193,""y"":1.9035593,""z"":1.4804688}",-2.6760283,4.765379,1,-2.6760283,1681344883099784,16813448830,0,70549,1,2,08:14:43,道路7,机动车占用非机动车道
204481307,280666547,1,"{""x"":143.9376,""y"":-185.30666,""z"":13.282729}","{""x"":4.8444033,""y"":1.7941031,""z"":1.4434671}",1.0758592,0.52353126,1,1.0758592,1681344834599761,16813448345,0,70469,1,2,08:13:54,道路13,机动车占用非机动车道
207348467,280681407,1,"{""x"":259.73608,""y"":-277.4084,""z"":13.088718}","{""x"":4.835904,""y"":1.9865998,""z"":1.9688059}",2.592895,2.9676762,1,2.592895,1681346320599648,16813463205,0,70122,0,2,08:38:40,道路4,机动车占用非机动车道
207896309,280680822,0,"{""x"":-276.01968,""y"":-339.866,""z"":12.490234}","{""x"":6.371115,""y"":2.3229718,""z"":1.5371094}",-0.38580665,0.0,1,-0.38580665,1681346262099685,16813462620,0,70077,0,2,08:37:42,道路7,机动车占用非机动车道
206245886,280680032,0,"{""x"":222.26276,""y"":-452.65753}","{""x"":5.251334,""y"":1.9900495,""z"":1.7099609}",-1.3771988,0.0,1,-1.3771988,1681346183099623,16813461830,0,70602,1,2,08:36:23,道路14,机动车占用非机动车道
208500684,280680697,1,"{""x"":220.8557,""y"":-465.60062,""z"":13.293945}","{""x"":4.6538773,""y"":1.9835753,""z"":1.4804688}",-2.06189,4.953862,1,-2.06189,1681346249599606,16813462495,0,70602,1,2,08:37:29,道路14,机动车占用非机动车道
207536682,280680197,0,"{""x"":254.21951,""y"":-459.35367}","{""x"":4.5753994,""y"":1.8561981,""z"":1.4853516}",1.0096233,0.0,1,0.998755,1681346199599607,16813461995,0,70601,1,2,08:36:39,道路14,机动车占用非机动车道
