road_sec_id,ms_no,all_car,line_up_car,time,road,
115,16813620000,1,1,13:00:00,路口1,
115,16813620010,1,1,13:00:01,路口1,
115,16813620020,1,1,13:00:02,路口1,
115,16813620030,1,1,13:00:03,路口1,
115,16813620040,1,1,13:00:04,路口1,
115,16813620050,1,1,13:00:05,路口1,
115,16813620060,1,1,13:00:06,路口1,
115,16813620070,1,1,13:00:07,路口1,
115,16813620080,1,1,13:00:08,路口1,
115,16813620090,1,1,13:00:09,路口1,
115,16813620100,1,0,13:00:10,路口1,
115,16813620110,1,0,13:00:11,路口1,
115,16813620120,0,0,13:00:12,路口1,
115,16813620130,0,0,13:00:13,路口1,
115,16813620140,0,0,13:00:14,路口1,
115,16813620150,0,0,13:00:15,路口1,
115,16813620160,0,0,13:00:16,路口1,
115,16813620170,0,0,13:00:17,路口1,
115,16813620180,0,0,13:00:18,路口1,
115,16813620190,0,0,13:00:19,路口1,
115,16813620200,0,0,13:00:20,路口1,
115,16813620210,0,0,13:00:21,路口1,
115,16813620220,0,0,13:00:22,路口1,
115,16813620230,0,0,13:00:23,路口1,
115,16813620240,0,0,13:00:24,路口1,
115,16813620250,0,0,13:00:25,路口1,
115,16813620260,0,0,13:00:26,路口1,
115,16813620270,0,0,13:00:27,路口1,
115,16813620280,0,0,13:00:28,路口1,
115,16813620290,0,0,13:00:29,路口1,
115,16813620300,0,0,13:00:30,路口1,
115,16813620310,0,0,13:00:31,路口1,
115,16813620320,0,0,13:00:32,路口1,
115,16813620330,0,0,13:00:33,路口1,
115,16813620340,0,0,13:00:34,路口1,
115,16813620350,0,0,13:00:35,路口1,
115,16813620360,0,0,13:00:36,路口1,
115,16813620370,0,0,13:00:37,路口1,
115,16813620380,0,0,13:00:38,路口1,
115,16813620390,0,0,13:00:39,路口1,
115,16813620400,0,0,13:00:40,路口1,
115,16813620410,0,0,13:00:41,路口1,
115,16813620420,1,0,13:00:42,路口1,
115,16813620430,0,0,13:00:43,路口1,
115,16813620440,2,0,13:00:44,路口1,
115,16813620450,2,0,13:00:45,路口1,
115,16813620460,2,0,13:00:46,路口1,
115,16813620470,1,0,13:00:47,路口1,
115,16813620480,1,1,13:00:48,路口1,
115,16813620490,1,1,13:00:49,路口1,
115,16813620500,1,1,13:00:50,路口1,
115,16813620510,1,1,13:00:51,路口1,
115,16813620520,1,1,13:00:52,路口1,
115,16813620530,2,1,13:00:53,路口1,
115,16813620540,2,1,13:00:54,路口1,
115,16813620550,2,1,13:00:55,路口1,
115,16813620560,1,1,13:00:56,路口1,
115,16813620570,1,1,13:00:57,路口1,
115,16813620580,1,1,13:00:58,路口1,
115,16813620590,1,1,13:00:59,路口1,
115,16813620600,1,1,13:01:00,路口1,
115,16813620610,1,1,13:01:01,路口1,
115,16813620620,1,1,13:01:02,路口1,
115,16813620630,1,1,13:01:03,路口1,
115,16813620640,1,1,13:01:04,路口1,
115,16813620650,1,1,13:01:05,路口1,
115,16813620660,1,1,13:01:06,路口1,
115,16813620670,1,1,13:01:07,路口1,
115,16813620680,1,1,13:01:08,路口1,
115,16813620690,1,1,13:01:09,路口1,
115,16813620700,1,1,13:01:10,路口1,
115,16813620710,1,1,13:01:11,路口1,
115,16813620720,1,1,13:01:12,路口1,
115,16813620730,1,1,13:01:13,路口1,
115,16813620740,1,1,13:01:14,路口1,
115,16813620750,1,1,13:01:15,路口1,
115,16813620760,1,1,13:01:16,路口1,
115,16813620770,1,1,13:01:17,路口1,
115,16813620780,1,1,13:01:18,路口1,
115,16813620790,1,1,13:01:19,路口1,
