road_sec_id,ms_no,all_car,line_up_car,time,road,turn,time_min
115,16813440065,2,0,8:00:06,路口1,下,8:00
115,16813440075,2,0,8:00:07,路口1,下,8:00
115,16813440085,2,0,8:00:08,路口1,下,8:00
115,16813440095,2,0,8:00:09,路口1,下,8:00
115,16813440105,1,0,8:00:10,路口1,下,8:00
115,16813440115,1,0,8:00:11,路口1,下,8:00
115,16813440125,1,0,8:00:12,路口1,下,8:00
115,16813440135,1,0,8:00:13,路口1,下,8:00
115,16813440145,1,1,8:00:14,路口1,下,8:00
115,16813440155,2,1,8:00:15,路口1,下,8:00
115,16813440165,2,1,8:00:16,路口1,下,8:00
115,16813440175,2,1,8:00:17,路口1,下,8:00
115,16813440185,2,1,8:00:18,路口1,下,8:00
115,16813440195,2,1,8:00:19,路口1,下,8:00
115,16813440205,2,2,8:00:20,路口1,下,8:00
115,16813440215,2,2,8:00:21,路口1,下,8:00
115,16813440225,2,2,8:00:22,路口1,下,8:00
115,16813440235,2,2,8:00:23,路口1,下,8:00
115,16813440245,2,2,8:00:24,路口1,下,8:00
115,16813440255,2,2,8:00:25,路口1,下,8:00
115,16813440265,2,2,8:00:26,路口1,下,8:00
115,16813440275,3,2,8:00:27,路口1,下,8:00
115,16813440285,3,2,8:00:28,路口1,下,8:00
115,16813440295,3,2,8:00:29,路口1,下,8:00
115,16813440305,3,2,8:00:30,路口1,下,8:00
115,16813440315,3,2,8:00:31,路口1,下,8:00
115,16813440325,3,2,8:00:32,路口1,下,8:00
115,16813440335,3,2,8:00:33,路口1,下,8:00
115,16813440345,3,3,8:00:34,路口1,下,8:00
115,16813440355,3,3,8:00:35,路口1,下,8:00
115,16813440365,3,3,8:00:36,路口1,下,8:00
115,16813440375,4,3,8:00:37,路口1,下,8:00
115,16813440385,4,3,8:00:38,路口1,下,8:00
115,16813440395,4,3,8:00:39,路口1,下,8:00
115,16813440405,5,4,8:00:40,路口1,下,8:00
115,16813440415,5,4,8:00:41,路口1,下,8:00
115,16813440425,5,4,8:00:42,路口1,下,8:00
115,16813440435,5,4,8:00:43,路口1,下,8:00
115,16813440445,5,4,8:00:44,路口1,下,8:00
115,16813440455,5,4,8:00:45,路口1,下,8:00
115,16813440465,5,5,8:00:46,路口1,下,8:00
115,16813440475,5,5,8:00:47,路口1,下,8:00
115,16813440485,5,4,8:00:48,路口1,下,8:00
115,16813440495,5,4,8:00:49,路口1,下,8:00
115,16813440505,4,4,8:00:50,路口1,下,8:00
115,16813440515,4,4,8:00:51,路口1,下,8:00
115,16813440525,4,4,8:00:52,路口1,下,8:00
115,16813440535,4,3,8:00:53,路口1,下,8:00
115,16813440545,4,4,8:00:54,路口1,下,8:00
115,16813440555,4,3,8:00:55,路口1,下,8:00
115,16813440565,4,3,8:00:56,路口1,下,8:00
115,16813440575,3,3,8:00:57,路口1,下,8:00
115,16813440585,3,3,8:00:58,路口1,下,8:00
115,16813440595,3,3,8:00:59,路口1,下,8:00
115,16813440605,3,3,8:01:00,路口1,下,8:00
115,16813440615,3,3,8:01:01,路口1,下,8:00
115,16813440625,3,3,8:01:02,路口1,下,8:00
115,16813440635,3,3,8:01:03,路口1,下,8:00
115,16813440645,3,3,8:01:04,路口1,下,8:00
115,16813440655,3,3,8:01:05,路口1,下,8:00
115,16813440665,3,3,8:01:06,路口1,下,8:00
115,16813440675,3,3,8:01:07,路口1,下,8:00
115,16813440685,3,3,8:01:08,路口1,下,8:00
115,16813440695,3,3,8:01:09,路口1,下,8:00
115,16813440705,3,3,8:01:10,路口1,下,8:00
115,16813440715,3,3,8:01:11,路口1,下,8:00
115,16813440725,3,3,8:01:12,路口1,下,8:00
115,16813440735,3,3,8:01:13,路口1,下,8:00
115,16813440745,3,3,8:01:14,路口1,下,8:00
115,16813440755,3,3,8:01:15,路口1,下,8:00
115,16813440765,3,3,8:01:16,路口1,下,8:00
115,16813440775,3,3,8:01:17,路口1,下,8:00
115,16813440785,3,3,8:01:18,路口1,下,8:00
115,16813440795,3,3,8:01:19,路口1,下,8:00
115,16813440805,3,3,8:01:20,路口1,下,8:00
115,16813440815,3,3,8:01:21,路口1,下,8:00
115,16813440825,3,3,8:01:22,路口1,下,8:00
115,16813440835,3,3,8:01:23,路口1,下,8:00
115,16813440845,3,3,8:01:24,路口1,下,8:00
115,16813440855,3,3,8:01:25,路口1,下,8:00
115,16813440865,3,3,8:01:26,路口1,下,8:00
115,16813440875,3,3,8:01:27,路口1,下,8:00
115,16813440885,3,3,8:01:28,路口1,下,8:00
115,16813440895,3,3,8:01:29,路口1,下,8:00
115,16813440905,3,3,8:01:30,路口1,下,8:00
115,16813440915,3,3,8:01:31,路口1,下,8:00
115,16813440925,3,3,8:01:32,路口1,下,8:00
115,16813440935,3,2,8:01:33,路口1,下,8:00
115,16813440945,2,2,8:01:34,路口1,下,8:00
115,16813440955,2,0,8:01:35,路口1,下,8:00
115,16813440965,2,0,8:01:36,路口1,下,8:00
115,16813440975,2,0,8:01:37,路口1,下,8:00
115,16813440985,3,0,8:01:38,路口1,下,8:00
115,16813440995,2,0,8:01:39,路口1,下,8:00
115,16813441005,2,0,8:01:40,路口1,下,8:00
115,16813441015,1,0,8:01:41,路口1,下,8:00
