road_sec_id,ms_no,all_car,line_up_car,time,road
520,16813476195,1,0,9:00:19,路口2
520,16813476205,1,0,9:00:20,路口2
520,16813476215,1,0,9:00:21,路口2
520,16813476225,2,0,9:00:22,路口2
520,16813476235,2,0,9:00:23,路口2
520,16813476245,2,0,9:00:24,路口2
520,16813476255,3,0,9:00:25,路口2
520,16813476265,3,0,9:00:26,路口2
520,16813476275,3,0,9:00:27,路口2
520,16813476285,3,1,9:00:28,路口2
520,16813476295,3,1,9:00:29,路口2
520,16813476305,3,1,9:00:30,路口2
520,16813476315,3,1,9:00:31,路口2
520,16813476325,3,1,9:00:32,路口2
520,16813476335,2,2,9:00:33,路口2
520,16813476345,3,2,9:00:34,路口2
520,16813476355,3,2,9:00:35,路口2
520,16813476365,3,2,9:00:36,路口2
520,16813476375,3,2,9:00:37,路口2
520,16813476385,4,2,9:00:38,路口2
520,16813476395,5,2,9:00:39,路口2
520,16813476405,5,3,9:00:40,路口2
520,16813476415,5,3,9:00:41,路口2
520,16813476425,6,3,9:00:42,路口2
520,16813476435,7,4,9:00:43,路口2
520,16813476445,7,5,9:00:44,路口2
520,16813476455,8,5,9:00:45,路口2
520,16813476465,8,5,9:00:46,路口2
520,16813476475,8,6,9:00:47,路口2
520,16813476485,9,7,9:00:48,路口2
520,16813476495,9,8,9:00:49,路口2
520,16813476505,9,9,9:00:50,路口2
520,16813476515,9,9,9:00:51,路口2
520,16813476525,9,9,9:00:52,路口2
520,16813476535,9,9,9:00:53,路口2
520,16813476545,9,9,9:00:54,路口2
520,16813476555,9,9,9:00:55,路口2
520,16813476565,10,9,9:00:56,路口2
520,16813476575,10,10,9:00:57,路口2
520,16813476585,10,10,9:00:58,路口2
520,16813476595,10,10,9:00:59,路口2
520,16813476605,10,10,9:01:00,路口2
520,16813476615,10,10,9:01:01,路口2
520,16813476625,10,9,9:01:02,路口2
520,16813476635,10,7,9:01:03,路口2
520,16813476645,10,5,9:01:04,路口2
520,16813476655,9,2,9:01:05,路口2
520,16813476665,7,2,9:01:06,路口2
520,16813476675,7,1,9:01:07,路口2
520,16813476685,6,0,9:01:08,路口2
520,16813476695,4,0,9:01:09,路口2
520,16813476705,4,0,9:01:10,路口2
520,16813476715,4,0,9:01:11,路口2
520,16813476725,5,0,9:01:12,路口2
520,16813476735,5,0,9:01:13,路口2
520,16813476745,6,0,9:01:14,路口2
520,16813476755,7,0,9:01:15,路口2
520,16813476765,6,0,9:01:16,路口2
520,16813476775,6,0,9:01:17,路口2
520,16813476785,4,0,9:01:18,路口2
520,16813476795,5,0,9:01:19,路口2
520,16813476805,4,1,9:01:20,路口2
520,16813476815,4,1,9:01:21,路口2
520,16813476825,4,1,9:01:22,路口2
520,16813476835,3,1,9:01:23,路口2
520,16813476845,4,1,9:01:24,路口2
520,16813476855,3,1,9:01:25,路口2
520,16813476865,3,1,9:01:26,路口2
520,16813476875,2,1,9:01:27,路口2
520,16813476885,1,1,9:01:28,路口2
520,16813476895,1,1,9:01:29,路口2
520,16813476905,1,1,9:01:30,路口2
520,16813476915,1,1,9:01:31,路口2
520,16813476925,1,1,9:01:32,路口2
520,16813476935,1,1,9:01:33,路口2
520,16813476945,1,1,9:01:34,路口2
520,16813476955,1,1,9:01:35,路口2
520,16813476965,1,1,9:01:36,路口2
520,16813476975,1,0,9:01:37,路口2
520,16813476985,1,0,9:01:38,路口2
520,16813476995,0,0,9:01:39,路口2
